MUNICIPALITY,REGION,LOCATIVE
Abertamy,Karlovy Vary,Abertamech
Adamov,České Budějovice,Adamově
Adamov,Kutná Hora,Adamově
Adamov,Blansko,Adamově
Adršpach,Náchod,Adršpachu
Albrechtice,Karviná,Albrechticích
Albrechtice,Ústí nad Orlicí,Albrechticích
Albrechtice nad Orlicí,Rychnov nad Kněžnou,Albrechticích
Albrechtice nad Vltavou,Písek,Albrechticích
Albrechtice v Jizerských horách,Jablonec nad Nisou,Albrechticích
Albrechtičky,Nový Jičín,Albrechtičkách
Alojzov,Prostějov,Alojzově
Andělská Hora,Karlovy Vary,Andělské Hoře
Andělská Hora,Bruntál,Andělské Hoře
Anenská Studánka,Ústí nad Orlicí,Anenské Studánce
Archlebov,Hodonín,Archlebově
Arneštovice,Pelhřimov,Arneštovicích
Arnolec,Jihlava,Arnolci
Arnoltice,Děčín,Arnolticích
Aš,Cheb,Aši
Babice,Uherské Hradiště,Babicích
Babice,Prachatice,Babicích
Babice,Praha-východ,Babicích
Babice,Olomouc,Babicích
Babice,Třebíč,Babicích
Babice,Hradec Králové,Babicích
Babice nad Svitavou,Brno-venkov,Babicích
Babice u Rosic,Brno-venkov,Babicích
Babylon,Domažlice,"Babyloně,Babylonu"
Bácovice,Pelhřimov,Bácovicích
Bačalky,Jičín,Bačalkách
Bačetín,Rychnov nad Kněžnou,Bačetíně
Bačice,Třebíč,Bačicích
Bačkov,Havlíčkův Brod,Bačkově
Bačkovice,Třebíč,Bačkovicích
Bakov nad Jizerou,Mladá Boleslav,Bakově
Baliny,Žďár nad Sázavou,Balinách
Balkova Lhota,Tábor,Balkově Lhotě
Banín,Svitavy,Baníně
Bánov,Uherské Hradiště,Bánově
Báňovice,Jindřichův Hradec,Báňovicích
Bantice,Znojmo,Banticích
Barchov,Hradec Králové,Barchově
Barchov,Pardubice,Barchově
Barchovice,Kolín,Barchovicích
Bartošovice,Nový Jičín,Bartošovicích
Bartošovice v Orlických horách,Rychnov nad Kněžnou,Bartošovicích
Bartoušov,Havlíčkův Brod,Bartoušově
Bařice-Velké Těšany,Kroměříž,Bařicích-Velkých Těšanech
Baška,Frýdek-Místek,Bašce
Bašnice,Jičín,Bašnicích
